packet_length,flow_duration,fwd_packets/s,bwd_packets/s,flag_counts, Label
1166,64423,58.80583780900792,11.573760667870536,3,BENIGN
1499,92022,2.9394445756507293,15.432156528307939,1,BENIGN
900,58167,39.551516984901525,17.18484813270945,3,BENIGN
1334,49476,60.618871356117154,63.78770926636339,2,BENIGN
1170,45687,59.77235652558643,74.09812502745785,0,BENIGN
1135,37076,79.29560946056316,52.999152292641874,1,BENIGN
1084,67684,65.50093388321085,82.9017732545491,1,BENIGN
161,78577,99.21333163406723,99.12632267336332,1,BENIGN
506,42633,28.3854528608645,82.0012629119356,3,BENIGN
1278,1928,35.915102966623145,69.48823736759591,2,BENIGN
370,2017,38.38471518677963,53.24926994371466,1,BENIGN
127,20718,46.581280702024856,44.88530716747082,1,DDoS
1436,32354,83.59980637812095,8.439238054454234,0,BENIGN
1163,47462,23.579209395920987,39.93687483946909,0,BENIGN
911,20228,77.60002070354295,91.01346367821343,2,BENIGN
170,59483,40.53101830857434,80.8022629906553,2,BENIGN
1372,65645,60.18553836620085,21.60513650116872,4,BENIGN
809,82280,63.25405332263061,46.660778469721585,0,BENIGN
383,88058,37.28486371889345,81.67232025585446,4,BENIGN
1477,9965,51.26152052058052,6.738455478552252,3,BENIGN
845,2319,41.3031174647697,38.73925856686593,4,BENIGN
425,39909,6.913278618661945,85.18412368739476,1,BENIGN
1255,5387,43.71653888168265,40.389786417012374,4,BENIGN
995,34487,9.739339255355217,7.761464473144086,2,BENIGN
316,8612,40.50207990803215,54.253436853225146,3,BENIGN
1224,1442,59.291839983178185,86.17424949182954,1,BENIGN
499,63176,57.941489934350074,59.02855429531597,4,BENIGN
1377,19316,66.26212790083204,22.627910821423182,3,BENIGN
61,93170,9.526150795462629,38.423962013738134,3,BENIGN
292,79867,65.21232455304379,45.01233611819322,1,BENIGN
787,97929,31.214805669644708,57.92663538205268,4,BENIGN
896,26714,39.90459461371111,75.93510257526131,3,BENIGN
514,36358,85.79862539227058,9.88736176406354,3,BENIGN
1122,93889,0.9030404129550251,88.96520330175663,0,BENIGN
550,42178,58.84126333406054,1.230970301607559,3,BENIGN
739,83624,59.87139801001076,37.005233467425526,0,BENIGN
1015,96673,39.665977634356196,2.7420309972657653,4,BENIGN
229,12319,23.702785710833616,39.297422534529126,4,BENIGN
997,335,23.46740382615511,52.58125988733238,4,BENIGN
726,43029,88.37096696607526,51.16813865815117,2,BENIGN
997,67544,44.20243737828575,16.562834702826535,4,BENIGN
602,8667,33.08893629891719,64.57405100956123,3,DDoS
1307,70892,44.877757383140306,4.477845050466822,1,BENIGN
871,65541,66.93904014593613,76.19068201324154,0,BENIGN
1194,84655,14.57565682447517,94.66444339935462,2,BENIGN
686,73798,44.94338352137377,33.97688271511179,4,BENIGN
60,5515,58.7884371110387,51.72393817143319,4,BENIGN
880,36259,94.85833548514337,37.891027805881436,1,BENIGN
206,44025,25.252778207541926,0.6710390304059954,1,BENIGN
1337,6051,35.92507479162455,38.587450289511594,2,BENIGN
427,87488,37.93585899224238,79.17202592613465,0,BENIGN
640,8107,60.553815764488284,59.59888421834818,4,BENIGN
355,41932,35.67320530400016,10.125991461515893,2,BENIGN
53,58696,53.35119252996956,84.7139489693785,3,DDoS
281,30623,78.17903298450294,53.108534488524285,3,BENIGN
816,88961,70.53855941122036,84.17233617446762,2,BENIGN
1409,86840,44.636864651258556,58.02215187850294,4,BENIGN
604,15624,86.42161776741689,55.96884448379399,2,DDoS
937,19382,55.81402495938629,10.52591851970124,4,BENIGN
1403,24030,53.99058395022125,16.735973313862797,1,BENIGN
131,177,3.4187765939158177,97.20252564965911,2,BENIGN
1430,20711,98.66929803571615,22.848674675477078,4,BENIGN
995,17084,12.297080852962672,97.7452117990368,2,BENIGN
1491,14160,23.11309124276466,53.19127065242634,2,BENIGN
548,83085,5.169683724152696,13.578904706393713,4,DDoS
815,84156,64.00029668369137,9.930220275369294,4,BENIGN
74,43403,22.470117697267998,20.886407070574,0,BENIGN
245,59307,18.001043747272348,92.56373300253358,2,BENIGN
1144,75146,8.855558422324139,41.41502243282268,3,BENIGN
1451,29387,10.330895712401567,39.54342679929144,2,BENIGN
1065,93809,58.467070044258875,31.320626107017404,2,BENIGN
1061,39811,68.82078658665954,14.706185056658839,4,BENIGN
1453,12054,39.7378988464401,48.78511971924064,2,BENIGN
605,73440,47.989708159207325,13.00477825111387,2,BENIGN
1169,72201,68.59677359829841,83.54802363823276,3,BENIGN
742,71620,1.7379790185479638,37.03969862753065,4,BENIGN
441,87162,32.31306570702785,37.48035677817963,2,BENIGN
769,18674,97.30977480703464,47.40064284831559,1,DDoS
201,9284,58.01122296954681,44.41277131657516,0,BENIGN
241,19196,25.422457989749326,99.48579730593215,3,DDoS
1035,67828,52.17300466362131,54.53811212183025,2,BENIGN
309,34116,34.26534881209153,8.820170378987068,1,BENIGN
855,11346,53.22449888262991,60.687734157692994,2,BENIGN
1334,45658,12.574151180664883,15.158429286987996,2,BENIGN
495,18481,13.271465381927738,3.0937644731341973,4,BENIGN
1315,36555,14.354236203939285,97.07421536772482,4,BENIGN
1056,92363,93.98197919268418,77.3538891534564,4,BENIGN
335,4118,73.28989183413418,98.01089924137669,1,BENIGN
759,11402,16.23818946623209,47.78784480222424,2,BENIGN
377,67606,18.834908376560143,53.225753114897614,0,BENIGN
918,41257,73.08294748708764,16.833695591913024,3,BENIGN
1116,55017,15.616384479217393,24.69074266675856,4,BENIGN
831,92838,23.456129333482867,83.85492149028282,4,BENIGN
256,96746,96.3346832820399,35.61856471175942,2,BENIGN
803,83222,25.530652472843187,82.6814973796419,2,BENIGN
227,24619,66.16323503711467,70.90137242870318,1,BENIGN
419,96909,97.86312874005304,17.71709252718655,1,BENIGN
532,87587,37.42967671397926,50.744636611974215,4,BENIGN
1104,56919,1.7515990862062236,67.73873215187169,2,BENIGN
1220,81010,24.414729042237425,23.50372148038251,0,BENIGN
54,71424,83.08771913417054,83.06885105200769,3,BENIGN
104,5508,86.46088359550367,54.48276575451868,2,DDoS
560,59479,76.85193645237912,16.52420504426032,2,BENIGN
1407,25153,11.310981907657302,58.29844261646024,1,BENIGN
1192,9546,79.55103716964031,99.9713804155914,3,BENIGN
